지점코드,대유역,지점명,관할기관,경도,위도,X,Y
50074020,영산강,영암군(장천초교),환경부,126-34-54,34-45-20,161697.77464829996,240056.33536566485
40024060,섬진강,임실군(청웅면사무소),환경부,127-12-04,35-34-10,218230.98273893443,330290.9640902963
12014010,한강서해,아라인천TM,한국수자원공사,126-37-6,37-33-50,166279.66639143482,551663.4710719566
40094170,섬진강,구례군(문수리),환경부,127-31-44,35-17-35,248108.758902893,299735.71060945874
20084170,낙동강,군위군(군위댐),한국수자원공사,128-47-38,36-07-20,361501.8116019218,393097.1574504576
10144172,한강,화천천,한국수력원자력,127-42-16,38-06-32,261781.86507250555,612320.7985797558
20124037,낙동강,포항시(죽장면),한국수자원공사,129-04-33,36-11-59,386704.181348631,402204.01551870094
40024010,섬진강,강진,환경부,127-09-55,35-31-37,214990.54960508263,325569.51366449235
10104172,한강,용신교,한국수력원자력,127-42-16,38-06-32,261781.86507250555,612320.7985797558
20124190,낙동강,포항시(지동리),한국수자원공사,129-03-58,36-08-13,385977.9710868562,395217.9960268715
20084180,낙동강,군위군(양지리),한국수자원공사,128-49-37,36-10-00,364385.27738163783,398085.0151388454
50024010,영산강,장성,환경부,126-48-28,35-19-02,182520.36482761378,302305.5714690627
20021276,낙동강,청송군,기상청,129-2-31,36-25-55,383111.5381691385,427912.7270611744
53021252,영산강서해,영광군,기상청,126-28-40,35-17-2,152492.30455135045,298715.47879692784
31014050,삽교천,예당,한국농어촌공사,126-30-00,37-54-00,156024.0636235152,589018.3184113802
10094020,한강,화천군(풍산리),한국수자원공사,127-48-50,38-17-07,271208.613704402,631978.96856311
33014030,만경ㆍ동진,경천,한국농어촌공사,127-14-20,36-01-16,221533.38044128864,380413.5226849497
20044060,낙동강,경천댐,한국농어촌공사,128-18-46,36-41-37,317322.6862538354,455814.7264135785
40044020,섬진강,순창,환경부,127-08-25,35-22-18,212747.5331529628,308338.09616628516
32034020,금강서해,보령시(미산초교),환경부,126-40-40,36-17-19,171053.43794913142,410117.599041257
10134045,한강,목동교,한국수력원자력,127-32-54,37-52-59,248238.02925395238,587161.4486014775
50024051,영산강,장성군(평림댐),한국수자원공사,126-40-57,35-17-07,171116.90983329233,298790.736643419
22014084,한강,울산시(천전리),한국수자원공사,129-10-08,35-37-07,396507.49143246945,337894.15855041426
20024170,낙동강,청송군(성재리),한국수자원공사,128-57-53,36-14-24,376618.81008467113,406465.9345022537
